鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
文山區,房地(土地+建物),臺北市文山區忠順街二段85巷1弄1~30號,53.51,住,,,1071110,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780916,198.48,5,3,3,有,無,23500000,118400,,0.0,0,含增建或未登記建物。;,RPSNMLLLKINFFAA37CA
中正區,車位,臺北市中正區重慶南路三段151~180號,0.12,住,,,1071212,土地0建物0車位1,一層,十五層,其他,住家用,鋼筋混凝土造,1010315,16.169999999999998,0,0,0,有,有,1000000,,升降機械,0.0,1000000,單獨車位交易。;,RPVNMLLLKINFFAA67CA
文山區,房地(土地+建物),臺北市文山區溪口街107巷1~30號,46.32,住,,,1071118,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750516,125.17,4,2,2,有,無,17500000,139810,,0.0,0,含增建或未登記建物。;,RPOOMLLLKINFFAA07CA
文山區,房地(土地+建物),臺北市文山區辛亥路七段84巷1~30號,32.5,住,,,1071204,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.94,3,1,1,有,無,5700000,59412,,0.0,0,二等親關係之交易。,RPSNMLMLKINFFAA47CA
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄31~60號,43.44,住,,,1071111,土地2建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,113.53,3,2,2,有,有,13300000,117150,,0.0,0,含增建或未登記建物。;,RPVNMLMLKINFFAA77CA
文山區,房地(土地+建物),臺北市文山區景華街3巷1~30號,27.93,商,,,1071201,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720709,136.09,4,2,2,有,有,20000000,146962,,0.0,0,含增建或未登記建物。;,RPWNMLMLKINFFAA87CA
文山區,車位,臺北市文山區和興路52巷7弄1~30號,0.0,,,,1071206,土地0建物0車位1,,,其他,,,,32.8,0,0,0,有,有,1800000,,坡道平面,32.8,1800000,單獨車位交易。;,RPTOMLPLKINFFAA97CA
文山區,車位,臺北市文山區和興路52巷7弄1~30號,0.0,,,,1071210,土地0建物0車位1,,,其他,,,,32.8,0,0,0,有,有,1850000,,坡道平面,32.8,1850000,單獨車位交易。;,RPUOMLPLKINFFAA08CA
文山區,房地(土地+建物),臺北市文山區保儀路109巷3弄31~60號,5.87,住,,,1071205,土地1建物1車位0,四層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660105,23.69,5,2,5,有,無,2800000,118193,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLPLKINFFAA18CA
文山區,房地(土地+建物),臺北市文山區辛亥路四段77巷92弄1~30號,35.22,住,,,1071112,土地3建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920922,55.709999999999994,1,1,1,有,有,7600000,136421,,0.0,0,,RPSNMLOLKINFFAA67CA
文山區,土地,興安段一小段361~390地號,2307.0,其他,,,1071014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000000,216732,,0.0,0,,RPOOMLQLKINFFAA57CA
文山區,土地,興泰段二小段91~120地號,125.0,其他,,,1071126,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5179611,41437,,0.0,0,,RPUNMLRLKINFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段241~270號,35.34,住,,,1071113,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,178.69,3,2,2,有,有,24880008,139236,坡道平面,0.0,0,向政府機關承購之案件。,RPUNMLKKJHOFFAA27CA
中正區,房地(土地+建物)+車位,臺北市中正區辛亥路一段1~30號,13.82,住,,,1070919,土地3建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070717,157.7,3,2,2,有,有,36120000,276669,坡道機械,37.99,3000000,,RPQPMLRKJHOFFAA77CA
中正區,房地(土地+建物)+車位,臺北市中正區南海路31~60號,14.89,住,,,1071211,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961017,126.98,2,1,1,有,有,21500000,169305,升降平面,33.39,0,親友、員工或其他特殊關係間之交易。;,RPSNMLRKJHOFFAA77CA
大同區,房地(土地+建物),臺北市大同區延平北路一段1~30號,1.04,商,,,1071020,土地6建物1車位0,十層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670530,25.59,1,1,1,有,有,3650000,142634,,0.0,0,,RPQSMLMLKINFFBA87CA
大同區,房地(土地+建物),臺北市大同區迪化街二段361~390號,18.4,住,,,1071123,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830823,56.86,2,1,1,有,無,7920000,139289,,0.0,0,含增建或未登記建物。,RPXOMLMLKINFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區昆明街121~150號,3.12,商,,,1071118,土地2建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711130,26.560000000000002,1,1,1,有,有,3800000,143072,,0.0,0,含增建或未登記建物。,RPXRMLMLKINFFBA48CA
大同區,車位,臺北市大同區重慶北路三段61~90號,1.68,商,,,1071207,土地0建物0車位1,一層,十四層,其他,見使用執照,鋼筋混凝土造,0920328,42.620000000000005,0,0,0,有,有,2000000,,坡道平面,42.62,2000000,單獨車位交易。;,RPVNMLOJJHOFFBA77CA
大同區,房地(土地+建物),臺北市大同區長安西路271~300號,4.56,商,,,1071130,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0660603,39.01,2,1,1,有,有,4000000,102538,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLPKJHOFFBA47CA
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段20巷1~30號,36.79,住,,,1071115,土地1建物2車位2,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990331,194.13,3,2,2,有,有,52000000,267848,升降機械,0.0,0,,RPVOMLRKJHOFFBA28CA
大同區,房地(土地+建物),臺北市大同區敦煌路1~30號,30.5,住,,,1071122,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641211,93.18,2,1,1,有,無,10000000,107319,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLTKJHOFFBA48CA
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街181~210號,7.26,住,,,1071122,土地2建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820105,38.4,1,1,1,有,有,5580000,145313,,0.0,0,含增建或未登記建物。,RPVPMLLLKINFFCA08CA
